title,company,location,posted,salary,description,keyword
Software Engineer in Test,Zensar Technologies,N/A,N/A,INR 4.4 - 4.4 LPA,"Job Description
Hiring for Automation Testing:-
Must Have - Java, Selenium, Rest Assured,
An Automation Tester designs, develops, and executes automated tests to ensure software quality and functionality. They work closely with development teams to identify test cases and create scripts that simulate user interactions. This role can range from junior testers focused on learning automation tools and executing tests, to senior testers leading test strategy development and mentoring junior team members.
Key Responsibilities:
Designing and Developing Automated Tests:
Creating test scripts, frameworks, and strategies to ensure software quality and functionality.
Executing Test Scripts:
Running automated tests to identify defects and ensure the software meets requirements.
Analyzing Test Results:
Evaluating the results of automated tests to identify areas for improvement and bug fixing.
Collaborating with Development Teams:
Working closely with developers to identify test requirements, create test plans, and implement automated testing solutions.
Maintaining and Enhancing Test Scripts:
Continuously improving and updating test scripts to ensure they remain accurate and reliable.
Documenting Test Cases and Results:
Keeping detailed records of test cases, results, and any issues found during the testing process.
Troubleshooting and Debugging:
Identifying and resolving issues in the test scripts and software.
Learning and Adapting to New Technologies:
Staying up-to-date with the latest automation tools and technologies.
Mentoring Junior Testers:
Providing guidance and support to junior team members on the development and execution of automated tests.
Skills and Qualifications:
Programming Languages: Proficiency in scripting languages like Python, Java, or JavaScript.
Automation Tools: Familiarity with various automation tools and frameworks, such as Selenium, Appium, and Cypress.
Test Design and Planning: Understanding of test design principles, test case creation, and test execution.",software engineer
AMD Public Bengaluru Associate Software Engineer,Goldman Sachs,N/A,N/A,N/A,"Job Description
Job Description

MORE ABOUT THIS JOB

Please note division and function examples are representative of opportunities common for this skill-set. The list is not exhaustive, and availability of open roles is determined based on business need. Specific roles will be confirmed through the interview process.

Responsibilities

Software engineers primarily focus on software design and development. This is meant to cover most programming positions in Engineering, and include positions that were previously considered business software engineers, platform engineers, and quality assurance engineers. Combine the best open source software, databases, cloud solutions, and programming languages, to solve problems and provide accurate, complex, scalable applications that help our business and clients gain new insights.

As a software engineer, you are the change agents that transform Goldman Sachs by applying your technical know-how.Be a part of our embedded engineering teams, that work as a unit with our business partners. Collaborate with trading, sales, asset management, banking, finance and others, to build and automate solutions to keep our firm's position on the cutting edge. Or, join our core engineering teams, and elevate all of our businesses by providing reliable, scalable platforms for data engineering, machine learning, networking, developer tooling, collaboration and more.

Innovate with UI/UX designers, data scientists, cloud engineers, and more in a collaborative, agile environment where your enthusiasm to take on new problems and learn will have an immediate impact.

Basic Qualifications

Bachelor's degree or relevant work experience in Computer Science, Mathematics, Electrical Engineering or related technical discipline.
Excellent object oriented or functional analysis and design skills.
Knowledge of data structures, algorithms, and designing for performance.
Excellent written and verbal communication skills.
Ability to solve problems and apply analysis to make data driven decisions.
Comfortable multi-tasking, managing multiple stakeholders and working as part of a global team.
Can apply an entrepreneurial approach and passion to problem solving and product development.
1+ years of software development experience.

Expert Knowledge in One Or More Of

Programming in a complied language such as Java, or C++ or an interpreted language such as Python and experience with concurrency and memory management.
Responsive web development, with professional React/Angular/Redux experience and advanced JavaScript proficiency.
NoSQL databases such as MongoDb and Elastic Search.

Preferred Qualifications

Knowledge or interest in trading technologies in the front-office of a trading organization
B.S. or M.S. Computer Science or Related field.

About Goldman Sachs

At Goldman Sachs, we commit our people, capital and ideas to help our clients, shareholders and the communities we serve to grow. Founded in 1869, we are a leading global investment banking, securities and investment management firm. Headquartered in New York, we maintain offices around the world.

We believe who you are makes you better at what you do. We're committed to fostering and advancing diversity and inclusion in our own workplace and beyond by ensuring every individual within our firm has a number of opportunities to grow professionally and personally, from our training and development opportunities and firmwide networks to benefits, wellness and personal finance offerings and mindfulness programs. Learn more about our culture, benefits, and people at GS.com/careers.

We're committed to finding reasonable accommodations for candidates with special needs or disabilities during our recruiting process. Learn more: https://www.goldmansachs.com/careers/footer/disability-statement.html

The Goldman Sachs Group, Inc., 2023. All rights reserved.

Goldman Sachs is an equal opportunity employer and does not discriminate on the basis of race, color, religion, sex, national origin, age, veterans status, disability, or any other characteristic protected by applicable law.",software engineer
Software Engineer,Siemens EDA (Siemens Digital Industries Software),N/A,N/A,INR 20.1 - 20.1 LPA,"Job Description
We Are Siemens

A collection of over 377,000 minds building the future, one day at a time in over 200 countries. We're dedicated to equality, and we encourage applications that reflect the diversity of the communities we work in. All employment decisions at Siemens are based on qualifications, merit and business need. Bring your curiosity and creativity and help us craft tomorrow!

Looking for Siemens EDA Ambassadors: Senior Member Of Technical Staff

Siemens EDA is a global technology leader in Electronic Design Automation software. Our software tools enable companies around the world to develop highly innovative electronic products faster and more cost-effectively. Our customers use our tools to push the boundaries of technology and physics to deliver better products in the increasingly complex world of chip, board, and system design.

We Are Not Looking for Superheroes, Just Super Minds

We've got quite a lot to offer. How about you

Qualifications:

You're a Graduate / Postgraduate (Bachelors/Masters) in EEE) / ECE/Computer Science (CS) from top reputed Engineering colleges with significant experience in software development.
Experience in EDA will be a great plus.
Your sound understanding of C/C++ languages, design patterns along with data structure and algorithms will be key to development of software.
Your good knowledge of Graph will enhance the development time.
Must have ability to understand complex products, solutions, and problems
Self-motivated, self-discipline, with high integrity
Team person who is easy to talk to

This role is in Noida, where you'll get the chance to work with teams impacting entire cities, countries and the craft of things to come. This is dynamic environment where the learning curve is very high.

We are an equal opportunity employer and value diversity at our company. We do not discriminate based on any race, religion, colour, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform crucial job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.

At Siemens, we are always challenging ourselves to build a better future. We need the most innovative and diverse Digital Minds to develop tomorrow's reality. Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds.

Join our Talent Community today and let's stay connected in areas that interest you.",software engineer
Software Engineer I ITC,Nike,N/A,N/A,N/A,"Job Description
Who You'll Work With

You will be part of the Global Technology organization and report to the Engineering Manager. On a daily basis, you will collaborate with peer software engineers, product managers, and architects on product teams to achieve business objectives. Additionally, you will engage with other Global Technology teams to align on both organizational and individual development goals.

Who We Are Looking For

We are seeking a ambitious Full Stack Software Engineer to join our dynamic team. You'll be responsible for developing and maintaining both front-end and back-end applications, ensuring seamless and scalable experiences for users. You will play a critical role in building robust features, maintaining system performance, and collaborating across teams to deliver high-quality cloud native software solutions. If you thrive in a collaborative environment, are energized by innovative technology, and excel at problem-solving, this role may be a great fit for you.

Key Qualifications

Bachelor's Degree in Computer Science, Engineering, or a related field (or equivalent experience).
1+ years of professional experience as a Full Stack Software Engineer or in a similar role.
Hands on Exposure on Front-End Skills in React or similar technologies.
Hands on Exposure on in server-side programming languages such as Node.js, Python or similar.
Database Expertise: Experience NoSQL databases.
API Development: Hands on exposure to designing and consuming RESTful APIs and web services.
Cloud Technologies: Familiarity with cloud platforms preferably AWS, including experience with serverless architectures and cloud-native development.
Version Control: Proficient with Git, GitHub, or similar version control tools.
Testing Frameworks: Experience with unit testing, integration testing, and test-driven development (TDD).
Problem-Solving: Strong debugging, troubleshooting, and performance optimization skills.
Collaboration: Excellent communication and interpersonal skills, with the ability to work well in a team-oriented, fast-paced environment.

Bonus Skills

Familiarity with CI/CD tools (e.g., Jenkins, CircleCI, GitLab), containerization
technologies like Docker, or familiarity with microservices architecture.
Ability to thrive in a fast-paced, dynamic environment with ambiguity.

What You'll Work On

As a Software Engineer I, you will:

Design & Develop: Build, test, and maintain scalable web applications and services. Work on both front-end and back-end development to deliver end-to-end functionality.
Collaborate: Work closely with product managers, designers, and other engineers to define requirements, technical specifications, and deliver quality software.
Front-End Development: Implement dynamic, responsive, and user-friendly web interfaces using modern JavaScript frameworks ( React).
Back-End Development: Design and implement RESTful APIs, microservices, and backend services using technologies like Node.js, Python or similar.
Database Management: Develop NoSQL databases, ensuring efficient data storage and retrieval.
Testing & Quality Assurance: Write unit tests, integration tests, and maintain high code
quality standards using tools such as Jest, Mocha, or similar.
Performance Optimization: Identify and fix performance bottlenecks across the full stack,
ensuring high availability and responsiveness. CI/CD Integration: Integrate with and maintain continuous integration/continuous deployment (CI/CD) pipelines for seamless software delivery.
Agile Methodologies: Participate in Agile processes, including sprint planning, daily stand-ups, code reviews, and retrospectives.",software engineer
Senior Software Engineer,DHL,N/A,N/A,N/A,"Job Description
Your IT Future, Delivered.

Senior Software Engineer

Open to all PAN India candidates.

With a global team of 5800 IT professionals, DHL IT Services connects people and keeps the global economy running by continuously innovating and creating sustainable digital solutions. We work beyond global borders and push boundaries across all dimensions of logistics. You can leave your mark shaping the technology backbone of the biggest logistics company of the world. Our offices in Cyberjaya, Prague, and Chennai have earned #GreatPlaceToWork certification, reflecting our commitment to exceptional employee experiences.

Digitalization. Simply delivered.

At IT Services, we are passionate about technology. Our BI team is continuously expanding. No matter your level of Senior Software Engineer proficiency, you can always grow within our diverse environment.

#DHL #DHLITServices #GreatPlace

Grow together.

Timely delivery of DHL packages around the globe in a way that ensures customer data are secure is in the core of what we do. You will provide second/third level day-to-day operation support, and help investigate and resolve incidents, which were not resolved in lower support levels. Sometimes, issues might get tricky and this is where cooperation on troubleshooting with other IT support teams and specialists will come into play. When it comes to firmware bugs, vulnerabilities and other issues related to our technologies, communicating with our vendors is key.

For any issues related to telecommunication/security systems within the DHL Group environment, you are our superhero. The same applies when it comes to managing, proposing and implementing all necessary changes to production security devices in all IT Services Data Centers and premises, providing global availability to key DHL Group services.

Last but not least, security technologies associated with Firewalls, Load Balancers, VPNs, Proxies, Azure and Google Cloud are all in your support league.

Ready to embark on the journey Here's what we are looking for:

As a Senior Software Engineer, having TM1 is a huge plus. Very good knowledge of Linux will also be an integral part of this role.

You are a technology aficionado; therefore, you have a good understanding of PowerShell, VBA. You are able to work independently, prioritize and organize your tasks under time and workload pressure. Working in a multinational environment, you can expect cross-region collaboration with teams around the globe, thus being advanced in spoken and written English will be certainly useful.

Responsibilities:

Designing, developing, and maintaining TM1 applications and reports
Creating and optimizing TI processes for data integration and processing
Ensuring data integrity and quality within TM1
Collaborating with other teams for requirements analysis and solution development
Configuring and managing complex TM1 models
Updating and optimizing TM1 applications in line with business requirements
Comprehensive troubleshooting and issue resolution within TM1

Mandatory Skills:

Extensive Experience in Linux based systems.
Expertise in Setting up TM1, PAW and Cognos Analytics on Linux Servers.
Should be expert in writing powershell scripts.
Expertise in updating SSL certificates on Linux based systems.
End to End Administration of TM1 on Linux servers.
Good Knowledge on VBA (Visual Basic) and Excel skills.

Requirements:

Expertise in IBM Cognos TM1: In-depth knowledge and experience in developing, configuring, and managing IBM Cognos TM1 applications and models.
TI Processes: Mastery of TurboIntegrator (TI) programming to design and implement complex data integration and transformation processes in TM1.
Database Knowledge: Solid experience working with databases, particularly in integrating TM1 with SAP and Oracle DB. This includes database design, SQL queries, and optimizing data access.
Linux Server: Comprehensive skills in installing, configuring, and maintaining TM1 on Linux servers. The ability to troubleshoot and optimize performance in this environment is advantageous.
Programming Skills: Proficiency in programming with TurboIntegrator (TI) and TM1Rules to develop custom solutions and complex calculations in TM1. Shell scripting: Competency in writing and executing shell scripts, especially on Linux servers.
Data Analysis: The ability to analyze data and translate business requirements into technical specifications to create effective TM1 solutions.
Project Experience: Experience in TM1 projects, including planning, execution, and documentation.
Communication Skills: Good oral and written communication skills to convey technical concepts and solutions clearly and comprehensibly to both technical and non-technical stakeholders.
Team Player: The ability to work effectively in a team and collaborate with other departments to achieve common goals.
Self-Motivation: Commitment to continuous professional development, including acquiring new skills and following best practices in TM1 development.

An array of benefits for you:

Hybrid work arrangements to balance in-office collaboration and home flexibility.
Annual Leave: 42 days off apart from Public / National Holidays.
Medical Insurance: Self + Spouse + 2 children. An option to opt for Voluntary Parental Insurance (Parents / Parent -in-laws) at a nominal premium covering pre existing disease.
In House training programs: professional and technical training certifications.",software engineer
Principal Software Engineer,Microsoft,N/A,N/A,N/A,"Job Description
The E+D Growth Team's role is to help grow our user and customer base so we can fulfill Microsoft's mission of empowering every person and organization on the planet to achieve more. We do this through Product-Led Growth motions that we develop, facilitate, and partner with teams throughout Microsoft to deliver so we can bring more of Microsoft's software - across Microsoft 365, Windows, and elsewhere - to more users and convert those users into customers. We work with every segment of the market including consumers and businesses of all sizes, helping to facilitate improved engagement, retention, and acquisition for the wide array of products inside of the Experiences and Devices organization.
Lead the next wave of growth for Microsoft's most transformative products.
As part of the E+D Growth team, you will help define and deliver our Product-Led Growth (PLG) strategy across Windows, Office, and beyond crafting magical, AI-powered experiences that hundreds of millions of people rely on every day.
As a PrincipalSoftware Engineeryouwill play a critical role in driving the adoption and monetization of Microsoft 365 Copilot through Product-Led Growth methodologies.
We are seeking a highly driven Principal Software Engineer to lead with technical vision, hands-on execution, and a strong sense of accountability. This role is ideal for an engineering leader who thrives on solving complex problems, influencing cross-functional teams, and driving architectural and organizational transformation. You'll operate across the entire stack, influence technical direction, and help shape the culture and values of the engineering organization.
The position require building new experiences, running experimentation and making data driven decision. The role will provide opportunities for impact in a high growth area for E+D.
Microsoft's mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.
In alignment with our Microsoft values, we are committed to cultivating an inclusive work environment for all employees to positively impact our culture every day.",software engineer
Software Engineer II,Microsoft,N/A,N/A,N/A,"Job Description
Join a dynamic team at Microsoft and contribute to the Assist 365 program, providing support and innovative solutions to business customers. As part of our team, you will get exciting opportunities to work on cutting edge technologies across a variety of platforms.

You will be responsible for designing, implementing, integrating, and improving these systems.

The team embraces engineering quality, technical excellence, grassroots innovation, and collaboration. We create a supportive and productive work environment that provides growth avenue for everyone.
Microsoft's mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.",software engineer
Software Engineer II,Microsoft,N/A,N/A,N/A,"Job Description
SharePoint helps millions of people work better together and empowers the biggest companies in the world to solve mission critical problems. We create global scale services to store, secure and manage some of the most sensitive data on the planet.
We have fantastic opportunities and are on the front-line of making many of our next generation architecture investments to deliver multi-geo content store, amazing performance/scale/reliability, and security capabilities using cloud-based distributed systems.
We are looking for a strong Software Engineer II to build and modernize the Control Plane for ODSP and deliver solutions in Secrets Management and Regulated clouds space. Microsoft is uniquely at the center of this opportunity, and we have the responsibility to advance the frontiers of compliance, regulation and security in the ever expanding digital world.
Microsoft's mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.",software engineer
Software Engineer Azure BI,DHL,N/A,N/A,N/A,"Job Description
Your IT Future, Delivered

Senior Software Engineer (Azure BI)

Open to all PAN India candidates.

With a global team of 5800 IT professionals, DHL IT Services connects people and keeps the global economy running by continuously innovating and creating sustainable digital solutions. We work beyond global borders and push boundaries across all dimensions of logistics. You can leave your mark shaping the technology backbone of the biggest logistics company of the world. Our offices in Cyberjaya, Prague, and Chennai have earned #GreatPlaceToWork certification, reflecting our commitment to exceptional employee experiences.

Digitalization. Simply delivered.

At IT Services, we are passionate about Azure Databricks and PySpark. Our PnP BI Solutions team is continuously expanding. No matter your level of Software Engineer Azure BI proficiency, you can always grow within our diverse environment.

#DHL #DHLITServices #GreatPlace #pyspark #azuredatabricks #snowflakedatabase

Grow together

Timely delivery of DHL packages around the globe in a way that ensures customer data are secure is in the core of what we do. You will provide project deliverables and day-to-day operation support and help investigate and resolve incidents. Sometimes, requirements or issues might get tricky, and this is where your expertise in development or the cooperation on troubleshooting with other IT support teams and specialists will come into play.

For any requirements regarding BI use cases in an Azure environment, you are our superhero. The same applies when it comes to production and incidents that need to be fixed.

Ready to embark on the journey Here's what we are looking for:

Practical experience in programming using SQL, PySpark(Python), Azure Databricks and Azure Data Factory
Experience in administration and configuration of Databricks Cluster
Experience with Snowflake Database
Knowledge of Data Vault data modeling (if not: high motivation to learn the modeling approach).
Experiences with Streaming APIs like Kafka, CI/CD, XML/JSON, ADLS2
A comprehensive understanding of public cloud platforms, with a preference for Microsoft Azure
Proven ability to work in a multi-cultural environment

An array of benefits for you:

Flexible Work Guidelines.
Flexible Compensation Structure.
Global Work cultural & opportunities across geographies.
Insurance Benefit - Health Insurance for family, parents & in-laws, Term Insurance (Life Cover), Accidental Insurance.",software engineer
Software Engineer Vice President Compliance Engineering,Goldman Sachs,N/A,N/A,N/A,"Job Description
Job Description

YOUR IMPACT

Are you passionate about developing mission-critical, high quality software solutions, using cutting-edge technology, in a dynamic environment

OUR IMPACT

We are Compliance Engineering, a global team of more than 300 engineers and scientists who work on the most complex, mission-critical problems.

We

build and operate a suite of platforms and applications that prevent, detect, and mitigate regulatory and reputational risk across the firm.
have access to the latest technology and to massive amounts of structured and unstructured data.
leverage modern frameworks to build responsive and intuitive front end and Big Data applications.

The firm is making a significant investment to uplift and rebuild the Compliance application portfolio in 2023.

To achieve this Compliance Engi neering is looking to fill several full stack developers roles across different teams.

How You Will Fulfill Your Potential

As a member of our team, you will:

partner globally with sponsors, users and engineering colleagues across multiple divisions to create end-to-end solutions,
learn from experts,
leverage various technologies depending on the team including; Java, JavaScript, TypeScript, React, APIs, GraphQL, Elastic Search, Kafka, Kubernetes, Machine Learning
be able to innovate and incubate new ideas,
have an opportunity to work on a broad range of problems, often dealing with large data sets, including real-time processing, messaging, workflow and UI/UX
be involved in the full life cycle; defining, designing, implementing, testing, deploying, and maintaining software across our products.

Qualifications

A successful candidate will possess the following attributes:

A Bachelor's or Master's degree in Computer Science, Computer Engineering, or a similar field of study.
Expertise in Java development.
Experience in automated testing and SDLC concepts.
The ability (and tenacity) to clearly express ideas and arguments in meetings and on paper.

Experience in some of the following is desired and can set you apart from other candidates :

UI/UX development
API design, such as to create interconnected services,
message buses or real time processing,
relational databases
knowledge of the financial industry and compliance or risk functions
influencing stakeholders.

About Goldman Sachs

At Goldman Sachs, we commit our people, capital and ideas to help our clients, shareholders and the communities we serve to grow. Founded in 1869, we are a leading global investment banking, securities and investment management firm. Headquartered in New York, we maintain offices around the world.

We believe who you are makes you better at what you do. We're committed to fostering and advancing diversity and inclusion in our own workplace and beyond by ensuring every individual within our firm has a number of opportunities to grow professionally and personally, from our training and development opportunities and firmwide networks to benefits, wellness and personal finance offerings and mindfulness programs. Learn more about our culture, benefits, and people at GS.com/careers.

We're committed to finding reasonable accommodations for candidates with special needs or disabilities during our recruiting process. Learn more: https://www.goldmansachs.com/careers/footer/disability-statement.html

The Goldman Sachs Group, Inc., 2021. All rights reserved.

Goldman Sachs is an equal employment/affirmative action employer",software engineer
